countyState,GEOID,lon,lat,P_total,P_white,P_black,P_asian,P_native,P_hawaiian,P_others,P_below_middle_school,P_some_high_school,P_high_school_equivalent,P_some_college,P_bachelor_and_above,P_below_poverty,median_age,gini_index,median_household_income,median_rent_per_income,percent_no_internet,Year,State,CountyID,StateCountyName,AllAgesSAIPEPovertyUniverse,AllAgesinPovertyCount,AllAgesinPovertyCountLB90%,AllAgesinPovertyCountUB90%,90%ConfidenceInterval(AllAgesinPovertyCount),AllAgesinPovertyPercent,AllAgesinPovertyPercentLB90%,AllAgesinPovertyPercentUB90%,90%ConfidenceInterval(AllAgesinPovertyPercent),UnderAge18SAIPEPovertyUniverse,UnderAge18inPovertyCount,UnderAge18inPovertyCountLB90%,UnderAge18inPovertyCountUB90%,90%ConfidenceInterval(UnderAge18inPovertyCount),UnderAge18inPovertyPercent,UnderAge18inPovertyPercentLB90%,UnderAge18inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge18inPovertyPercent),Ages5to17inFamiliesSAIPEPovertyUniverse,Ages5to17inFamiliesinPovertyCount,Ages5to17inFamiliesinPovertyCountLB90%,Ages5to17inFamiliesinPovertyCountUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyCount),Ages5to17inFamiliesinPovertyPercent,Ages5to17inFamiliesinPovertyPercentLB90%,Ages5to17inFamiliesinPovertyPercentUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyPercent),UnderAge5SAIPEPovertyUniverse,UnderAge5inPovertyCount,UnderAge5inPovertyCountLB90%,UnderAge5inPovertyCountUB90%,90%ConfidenceInterval(UnderAge5inPovertyCount),UnderAge5inPovertyPercent,UnderAge5inPovertyPercentLB90%,UnderAge5inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge5inPovertyPercent),MedianHouseholdIncomeinDollars,MedianHouseholdIncomeinDollarsLB90%,MedianHouseholdIncomeinDollarsUB90%,90%ConfidenceInterval(MedianHouseholdIncomeinDollars)
Williamson County (TN),05000US47187,-86.896958,35.894972,219107,194634,9008,9027,251,515,1127,2869,5025,19379,34568,79559,12861,39.0,0.4485,106054,27,5.00738372329328,2017,47,47187,Williamson County (TN),225016,8667,6870,10464,"6,870 to 10,464",3.9,3.1,4.7,3.1 to 4.7,61935,2347,1743,2951,"1,743 to 2,951",3.8,2.8,4.8,2.8 to 4.8,48462,1607,1157,2057,"1,157 to 2,057",3.3,2.4,4.2,2.4 to 4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$111,427","$103,709","$119,145","$103,709 to $119,145"
Wilson County (TN),05000US47189,-86.2902097,36.1484757,132781,NA,NA,NA,NA,NA,NA,1333,6302,24004,31189,26568,10184,41.1,0.3937,71153,22.7,11.7089735258977,2017,47,47189,Wilson County (TN),134884,11336,9514,13158,"9,514 to 13,158",8.4,7,9.8,7.0 to 9.8,32252,3513,2827,4199,"2,827 to 4,199",10.9,8.8,13,8.8 to 13.0,24135,2578,2083,3073,"2,083 to 3,073",10.7,8.6,12.8,8.6 to 12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$70,674","$66,655","$74,693","$66,655 to $74,693"
Angelina County (TX),05000US48005,-94.6110558,31.2519514,87791,NA,NA,NA,NA,NA,NA,4296,7057,16523,18850,8976,16908,37.6,0.4566,41161,26.9,16.4812975835816,2017,48,48005,Angelina County (TX),84883,16969,14823,19115,"14,823 to 19,115",20.0,17.5,22.5,17.5 to 22.5,22356,5672,4557,6787,"4,557 to 6,787",25.4,20.4,30.4,20.4 to 30.4,16286,4029,3213,4845,"3,213 to 4,845",24.7,19.7,29.7,19.7 to 29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,318","$41,519","$49,117","$41,519 to $49,117"
Bastrop County (TX),05000US48021,-97.3118587,30.1031276,82733,NA,NA,NA,NA,NA,NA,3337,4847,14816,19002,10989,10251,38.7,0.4659,56508,33.4,19.1145332050048,2017,48,48021,Bastrop County (TX),82253,9462,7200,11724,"7,200 to 11,724",11.5,8.7,14.3,8.7 to 14.3,21447,4011,2964,5058,"2,964 to 5,058",18.7,13.8,23.6,13.8 to 23.6,15751,2855,2059,3651,"2,059 to 3,651",18.1,13.0,23.2,13.0 to 23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$62,992","$57,832","$68,152","$57,832 to $68,152"
Bell County (TX),05000US48027,-97.4819209,31.0421099,340411,217524,82612,9696,1945,2515,6984,5340,12673,52921,86780,45947,41475,31.0,0.4323,52275,27.4,12.9216152019002,2017,48,48027,Bell County (TX),337950,46542,40487,52597,"40,487 to 52,597",13.8,12,15.6,12.0 to 15.6,95558,19614,16309,22919,"16,309 to 22,919",20.5,17.0,24,17.0 to 24.0,65793,12543,10131,14955,"10,131 to 14,955",19.1,15.4,22.8,15.4 to 22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,164","$49,151","$55,177","$49,151 to $55,177"
Bexar County (TX),05000US48029,-98.5201465,29.4486708,1928680,1520769,151997,56054,14260,1282,129637,72858,117501,309505,361575,341692,307296,33.5,0.4595,53210,29.5,16.2752574237905,2017,48,48029,Bexar County (TX),1914735,299023,282158,315888,"282,158 to 315,888",15.6,14.7,16.5,14.7 to 16.5,498935,110667,101500,119834,"101,500 to 119,834",22.2,20.4,24,20.4 to 24.0,358784,74572,67315,81829,"67,315 to 81,829",20.8,18.8,22.8,18.8 to 22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,163","$52,899","$55,427","$52,899 to $55,427"
Bowie County (TX),05000US48037,-94.4223747,33.4460512,93860,65905,22872,1265,298,314,680,1001,5329,23452,19661,13412,17204,37.0,0.5029,45997,27.4,30.132299960643,2017,48,48037,Bowie County (TX),87613,13959,11135,16783,"11,135 to 16,783",15.9,12.7,19.1,12.7 to 19.1,21966,5048,3800,6296,"3,800 to 6,296",23,17.3,28.7,17.3 to 28.7,15961,3679,2745,4613,"2,745 to 4,613",23,17.1,28.9,17.1 to 28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,153","$46,133","$52,173","$46,133 to $52,173"
Brazoria County (TX),05000US48039,-95.434647,29.1678175,354195,264794,45897,23012,3592,13,9487,7418,15921,64475,74223,63307,32885,36.0,0.4102,74799,24.9,11.2360030042332,2017,48,48039,Brazoria County (TX),351537,31735,26261,37209,"26,261 to 37,209",9.0,7.4,10.6,7.4 to 10.6,95549,11373,8904,13842,"8,904 to 13,842",11.9,9.3,14.5,9.3 to 14.5,69899,8325,6522,10128,"6,522 to 10,128",11.9,9.3,14.5,9.3 to 14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$80,840","$77,162","$84,518","$77,162 to $84,518"
Brazos County (TX),05000US48041,-96.3023887,30.6567254,220417,167258,22640,14050,1067,107,7067,6432,7746,23127,31998,45155,53402,26.1,0.5372,41559,40.8,10.0764002452984,2017,48,48041,Brazos County (TX),208529,49752,46015,53489,"46,015 to 53,489",23.9,22.1,25.7,22.1 to 25.7,45622,9339,7659,11019,"7,659 to 11,019",20.5,16.8,24.2,16.8 to 24.2,31719,6204,4958,7450,"4,958 to 7,450",19.6,15.7,23.5,15.7 to 23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,083","$43,115","$49,051","$43,115 to $49,051"
Cameron County (TX),05000US48061,-97.4789584,26.1029227,422135,NA,NA,NA,NA,NA,NA,35111,32579,66538,57779,41850,122269,31.5,0.4899,37061,32.6,31.026813500527,2017,48,48061,Cameron County (TX),419941,116191,105251,127131,"105,251 to 127,131",27.7,25.1,30.3,25.1 to 30.3,129192,49643,43911,55375,"43,911 to 55,375",38.4,34.0,42.8,34.0 to 42.8,93881,34901,30598,39204,"30,598 to 39,204",37.2,32.6,41.8,32.6 to 41.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,624","$34,375","$38,873","$34,375 to $38,873"
Collin County (TX),05000US48085,-96.5781528,33.1938849,939585,661559,87766,132486,3583,822,23075,15011,19320,92547,163601,317049,59604,36.5,0.4236,89638,26.1,6.66798090766262,2017,48,48085,Collin County (TX),963885,56725,50502,62948,"50,502 to 62,948",5.9,5.3,6.5,5.3 to 6.5,253077,15669,12582,18756,"12,582 to 18,756",6.2,5.0,7.4,5.0 to 7.4,192477,10204,7900,12508,"7,900 to 12,508",5.3,4.1,6.5,4.1 to 6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$95,394","$92,888","$97,900","$92,888 to $97,900"
Comal County (TX),05000US48091,-98.2552006,29.8030193,134788,NA,NA,NA,NA,NA,NA,1419,3524,24111,28781,33732,11575,42.6,0.4417,77425,28.2,10.3077935972348,2017,48,48091,Comal County (TX),139706,12473,10497,14449,"10,497 to 14,449",8.9,7.5,10.3,7.5 to 10.3,31759,4158,3338,4978,"3,338 to 4,978",13.1,10.5,15.7,10.5 to 15.7,23399,2941,2343,3539,"2,343 to 3,539",12.6,10.0,15.2,10.0 to 15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$72,562","$67,639","$77,485","$67,639 to $77,485"
Coryell County (TX),05000US48099,-97.7980223,31.3911774,74686,53879,7911,1656,960,558,788,2146,2957,13314,20447,7567,8270,31.7,0.418,51125,26.2,11.7670399435676,2017,48,48099,Coryell County (TX),62807,8556,6892,10220,"6,892 to 10,220",13.6,11,16.2,11.0 to 16.2,17150,3262,2556,3968,"2,556 to 3,968",19,14.9,23.1,14.9 to 23.1,11921,2243,1717,2769,"1,717 to 2,769",18.8,14.4,23.2,14.4 to 23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,486","$48,791","$54,181","$48,791 to $54,181"
Dallas County (TX),05000US48113,-96.7784238,32.7669866,2574984,1591187,582365,157592,6506,1393,159620,151883,159910,360041,424294,498808,414218,33.3,0.4957,54399,28.1,16.9239686025677,2017,48,48113,Dallas County (TX),2582222,382477,360976,403978,"360,976 to 403,978",14.8,14,15.6,14.0 to 15.6,684808,151187,139701,162673,"139,701 to 162,673",22.1,20.4,23.8,20.4 to 23.8,489418,106882,98204,115560,"98,204 to 115,560",21.8,20.0,23.6,20.0 to 23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$56,732","$55,659","$57,805","$55,659 to $57,805"
Denton County (TX),05000US48121,-97.119046,33.2050051,806180,599270,74199,63864,3992,602,32029,15307,21312,92430,157526,233571,67887,35.1,0.4413,80613,28.4,7.59245861173767,2017,48,48121,Denton County (TX),823874,58411,52047,64775,"52,047 to 64,775",7.1,6.3,7.9,6.3 to 7.9,207934,16283,13136,19430,"13,136 to 19,430",7.8,6.3,9.3,6.3 to 9.3,154209,10230,7858,12602,"7,858 to 12,602",6.6,5.1,8.1,5.1 to 8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$86,462","$84,044","$88,880","$84,044 to $88,880"
Ector County (TX),05000US48135,-102.5425068,31.8653008,157462,134245,7643,1809,1069,0,8735,5132,14343,29241,27143,14331,19680,30.4,0.5128,53254,26.5,16.0530855484984,2017,48,48135,Ector County (TX),154048,20860,16728,24992,"16,728 to 24,992",13.5,10.8,16.2,10.8 to 16.2,46697,8341,6182,10500,"6,182 to 10,500",17.9,13.3,22.5,13.3 to 22.5,32561,5800,4211,7389,"4,211 to 7,389",17.8,12.9,22.7,12.9 to 22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,422","$50,766","$58,078","$50,766 to $58,078"
Ellis County (TX),05000US48139,-96.7983357,32.3472789,168499,141134,16525,1390,1104,83,2379,4745,10202,29355,38139,23450,15427,36.1,0.4152,70210,28.9,8.41758716223509,2017,48,48139,Ellis County (TX),171360,14521,11693,17349,"11,693 to 17,349",8.5,6.8,10.2,6.8 to 10.2,45868,5676,4350,7002,"4,350 to 7,002",12.4,9.5,15.3,9.5 to 15.3,34270,3819,2825,4813,"2,825 to 4,813",11.1,8.2,14.0,8.2 to 14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$71,512","$67,871","$75,153","$67,871 to $75,153"
El Paso County (TX),05000US48141,-106.2413905,31.7664034,837918,674348,30034,11107,5360,299,95668,56620,47755,118897,161938,112402,187442,32.1,0.4598,42165,30.4,17.9881515169649,2017,48,48141,El Paso County (TX),824863,172972,158158,187786,"158,158 to 187,786",21.0,19.2,22.8,19.2 to 22.8,229069,67757,60312,75202,"60,312 to 75,202",29.6,26.3,32.9,26.3 to 32.9,164653,47727,42061,53393,"42,061 to 53,393",29,25.6,32.4,25.6 to 32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,120","$42,373","$45,867","$42,373 to $45,867"
Fort Bend County (TX),05000US48157,-95.7710149,29.5266017,741237,388931,152115,146796,3077,93,34405,15009,23954,90429,127278,213489,63468,36.0,0.4482,90680,29.3,7.02195801339295,2017,48,48157,Fort Bend County (TX),758413,60772,52917,68627,"52,917 to 68,627",8.0,7,9.0,7.0 to 9.0,210274,21368,17613,25123,"17,613 to 25,123",10.2,8.4,12,8.4 to 12.0,156463,15177,12419,17935,"12,419 to 17,935",9.7,7.9,11.5,7.9 to 11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$91,661","$87,526","$95,796","$87,526 to $95,796"
Galveston County (TX),05000US48167,-94.8948647,29.2287059,329431,258194,43453,11418,2556,87,7317,7357,16515,52487,76601,64075,41712,37.1,0.4692,64939,29.7,13.3655261373596,2017,48,48167,Galveston County (TX),329363,39606,33749,45463,"33,749 to 45,463",12.0,10.2,13.8,10.2 to 13.8,81092,13679,11132,16226,"11,132 to 16,226",16.9,13.8,20,13.8 to 20.0,59384,9009,7008,11010,"7,008 to 11,010",15.2,11.8,18.6,11.8 to 18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$69,674","$67,041","$72,307","$67,041 to $72,307"
Grayson County (TX),05000US48181,-96.6756986,33.6245082,128235,111018,5527,1826,1352,16,3119,1875,6819,24262,35853,16843,15741,40.0,0.429,52095,25.4,20.7764930518723,2017,48,48181,Grayson County (TX),128602,17242,14430,20054,"14,430 to 20,054",13.4,11.2,15.6,11.2 to 15.6,30778,5918,4750,7086,"4,750 to 7,086",19.2,15.4,23,15.4 to 23.0,22405,4324,3472,5176,"3,472 to 5,176",19.3,15.5,23.1,15.5 to 23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,431","$50,658","$58,204","$50,658 to $58,204"
Gregg County (TX),05000US48183,-94.8162759,32.4863971,123745,92247,25793,1883,534,0,1037,4663,9549,22391,24801,17023,21654,35.5,0.4727,44219,31,17.2448099754593,2017,48,48183,Gregg County (TX),119535,19769,16650,22888,"16,650 to 22,888",16.5,13.9,19.1,13.9 to 19.1,31406,7413,5790,9036,"5,790 to 9,036",23.6,18.4,28.8,18.4 to 28.8,22423,5103,3873,6333,"3,873 to 6,333",22.8,17.3,28.3,17.3 to 28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,208","$45,211","$49,205","$45,211 to $49,205"
Guadalupe County (TX),05000US48187,-97.9490268,29.5832081,155265,106494,11011,3061,187,1657,28146,3426,6139,32511,29021,27689,15983,37.0,0.4076,68157,27.6,12.061230384134,2017,48,48187,Guadalupe County (TX),157391,14624,12419,16829,"12,419 to 16,829",9.3,7.9,10.7,7.9 to 10.7,40428,4864,3913,5815,"3,913 to 5,815",12,9.6,14.4,9.6 to 14.4,30262,3669,2931,4407,"2,931 to 4,407",12.1,9.7,14.5,9.7 to 14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$66,886","$63,293","$70,479","$63,293 to $70,479"
Harris County (TX),05000US48201,-95.3930371,29.857273,4589928,2880994,874306,317740,15178,3839,392701,251441,237148,686011,771762,903838,755013,33.3,0.4986,56377,30.1,15.4162820071477,2017,48,48201,Harris County (TX),4601205,733605,705669,761541,"705,669 to 761,541",15.9,15.3,16.5,15.3 to 16.5,1235665,286551,270475,302627,"270,475 to 302,627",23.2,21.9,24.5,21.9 to 24.5,881559,192664,180143,205185,"180,143 to 205,185",21.9,20.5,23.3,20.5 to 23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,664","$57,338","$59,990","$57,338 to $59,990"
Harrison County (TX),05000US48203,-94.3744253,32.5479928,66534,NA,NA,NA,NA,NA,NA,1796,4719,14211,14596,7316,11727,37.2,0.4255,46548,29.7,30.7387751663718,2017,48,48203,Harrison County (TX),65292,11315,9328,13302,"9,328 to 13,302",17.3,14.3,20.3,14.3 to 20.3,16718,3792,2884,4700,"2,884 to 4,700",22.7,17.3,28.1,17.3 to 28.1,12356,2646,1959,3333,"1,959 to 3,333",21.4,15.8,27.0,15.8 to 27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,584","$46,599","$54,569","$46,599 to $54,569"
Hays County (TX),05000US48209,-98.0292673,30.0612247,204470,184248,8627,3314,315,0,3753,6280,7686,26041,36282,43736,27807,31.2,0.4471,64658,31.1,9.00837694865787,2017,48,48209,Hays County (TX),206165,25221,22202,28240,"22,202 to 28,240",12.2,10.7,13.7,10.7 to 13.7,48936,5780,4465,7095,"4,465 to 7,095",11.8,9.1,14.5,9.1 to 14.5,35503,3938,2985,4891,"2,985 to 4,891",11.1,8.4,13.8,8.4 to 13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$66,525","$62,546","$70,504","$62,546 to $70,504"
Henderson County (TX),05000US48213,-95.8534183,32.2116334,79901,NA,NA,NA,NA,NA,NA,2042,5264,18740,17519,10334,11545,43.7,0.4776,44088,24.4,22.8036706903924,2017,48,48213,Henderson County (TX),79529,13666,11078,16254,"11,078 to 16,254",17.2,13.9,20.5,13.9 to 20.5,17079,4479,3453,5505,"3,453 to 5,505",26.2,20.2,32.2,20.2 to 32.2,12556,3026,2244,3808,"2,244 to 3,808",24.1,17.9,30.3,17.9 to 30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,500","$40,648","$48,352","$40,648 to $48,352"
Hidalgo County (TX),05000US48215,-98.18099,26.3963839,849843,717201,2922,9403,1953,93,105943,78268,61965,110109,113444,86415,264099,29.2,0.4952,36176,32.3,29.879940012611,2017,48,48215,Hidalgo County (TX),851869,251593,236757,266429,"236,757 to 266,429",29.5,27.8,31.2,27.8 to 31.2,281752,116304,107954,124654,"107,954 to 124,654",41.3,38.3,44.3,38.3 to 44.3,202209,80299,73895,86703,"73,895 to 86,703",39.7,36.5,42.9,36.5 to 42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,978","$35,611","$38,345","$35,611 to $38,345"
Hunt County (TX),05000US48231,-96.0838072,33.1234378,92073,71701,7680,1488,1185,0,9273,1875,7375,17973,19094,12161,15098,38.1,0.4414,53962,29.1,16.1742677757593,2017,48,48231,Hunt County (TX),91066,15389,13362,17416,"13,362 to 17,416",16.9,14.7,19.1,14.7 to 19.1,22059,5004,4063,5945,"4,063 to 5,945",22.7,18.4,27,18.4 to 27.0,16145,3638,2934,4342,"2,934 to 4,342",22.5,18.1,26.9,18.1 to 26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,421","$49,727","$57,115","$49,727 to $57,115"
Jefferson County (TX),05000US48245,-94.1493306,29.8539997,254679,150261,86060,10050,816,198,4262,9005,15139,56965,52466,31276,48241,35.9,0.4885,45390,31.1,32.9161491007401,2017,48,48245,Jefferson County (TX),240125,44734,38071,51397,"38,071 to 51,397",18.6,15.8,21.4,15.8 to 21.4,60625,16357,13448,19266,"13,448 to 19,266",27,22.2,31.8,22.2 to 31.8,42675,11518,9389,13647,"9,389 to 13,647",27,22.0,32.0,22.0 to 32.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,852","$45,477","$50,227","$45,477 to $50,227"
Johnson County (TX),05000US48251,-97.3648234,32.3795112,163274,149251,5440,1305,1179,751,1997,3828,9733,40079,30365,20842,17098,36.9,0.4009,59895,26.7,11.8616785079929,2017,48,48251,Johnson County (TX),164116,17019,13695,20343,"13,695 to 20,343",10.4,8.4,12.4,8.4 to 12.4,42898,6586,5008,8164,"5,008 to 8,164",15.4,11.7,19.1,11.7 to 19.1,31759,4560,3340,5780,"3,340 to 5,780",14.4,10.6,18.2,10.6 to 18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,813","$57,835","$65,791","$57,835 to $65,791"
Kaufman County (TX),05000US48257,-96.2883777,32.598944,118350,98799,12733,1429,324,0,2852,4232,5371,27916,22837,14754,14678,36.0,0.4006,62033,29,11.7505995203837,2017,48,48257,Kaufman County (TX),121185,11316,9318,13314,"9,318 to 13,314",9.3,7.7,10.9,7.7 to 10.9,33483,4286,3285,5287,"3,285 to 5,287",12.8,9.8,15.8,9.8 to 15.8,24588,3037,2215,3859,"2,215 to 3,859",12.4,9.1,15.7,9.1 to 15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$65,942","$61,460","$70,424","$61,460 to $70,424"
Liberty County (TX),05000US48291,-94.8226815,30.1621885,81704,NA,NA,NA,NA,NA,NA,3349,7752,21829,14329,4890,10822,36.7,0.463,42877,27,23.8627690428942,2017,48,48291,Liberty County (TX),78390,12132,9566,14698,"9,566 to 14,698",15.5,12.2,18.8,12.2 to 18.8,21390,4752,3624,5880,"3,624 to 5,880",22.2,16.9,27.5,16.9 to 27.5,15408,3256,2391,4121,"2,391 to 4,121",21.1,15.5,26.7,15.5 to 26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,420","$45,501","$55,339","$45,501 to $55,339"
Lubbock County (TX),05000US48303,-101.8199438,33.6114688,303137,248032,21502,5857,3901,1000,15506,7934,14974,44018,53559,55222,56791,30.6,0.4732,49136,29.3,15.6918955123912,2017,48,48303,Lubbock County (TX),293522,55533,50134,60932,"50,134 to 60,932",18.9,17.1,20.7,17.1 to 20.7,72259,16150,13356,18944,"13,356 to 18,944",22.4,18.5,26.3,18.5 to 26.3,51813,11205,9196,13214,"9,196 to 13,214",21.6,17.7,25.5,17.7 to 25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,460","$44,456","$50,464","$44,456 to $50,464"
McLennan County (TX),05000US48309,-97.2014721,31.549493,247934,191192,36482,3858,1100,149,9396,7785,15462,43577,47971,32620,44677,33.3,0.4899,46860,29.9,19.4669756662804,2017,48,48309,McLennan County (TX),242387,42008,37265,46751,"37,265 to 46,751",17.3,15.3,19.3,15.3 to 19.3,60816,13703,11589,15817,"11,589 to 15,817",22.5,19.0,26,19.0 to 26.0,43368,9104,7438,10770,"7,438 to 10,770",21,17.2,24.8,17.2 to 24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,306","$44,700","$49,912","$44,700 to $49,912"
Midland County (TX),05000US48329,-102.0243264,31.8708957,162565,NA,NA,NA,NA,NA,NA,4869,9202,27689,30158,26830,13225,32.0,0.4781,65349,26.7,14.5786606856777,2017,48,48329,Midland County (TX),163597,17528,14482,20574,"14,482 to 20,574",10.7,8.8,12.6,8.8 to 12.6,46331,7168,5702,8634,"5,702 to 8,634",15.5,12.3,18.7,12.3 to 18.7,31886,4822,3693,5951,"3,693 to 5,951",15.1,11.6,18.6,11.6 to 18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$76,307","$70,595","$82,019","$70,595 to $82,019"
Montgomery County (TX),05000US48339,-95.5035226,30.3023644,556203,480382,30394,15327,3642,358,12616,12690,30061,85473,108245,120923,63175,37.2,0.4917,71123,26.5,9.59527363055614,2017,48,48339,Montgomery County (TX),566099,50397,43697,57097,"43,697 to 57,097",8.9,7.7,10.1,7.7 to 10.1,149407,18622,15215,22029,"15,215 to 22,029",12.5,10.2,14.8,10.2 to 14.8,110474,13154,10551,15757,"10,551 to 15,757",11.9,9.5,14.3,9.5 to 14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$77,149","$74,591","$79,707","$74,591 to $79,707"
Nacogdoches County (TX),05000US48347,-94.6202497,31.6205598,65806,NA,NA,NA,NA,NA,NA,1540,5393,9178,10581,9527,16910,30.7,0.4954,35562,36.7,21.5381282495667,2017,48,48347,Nacogdoches County (TX),60453,14453,12225,16681,"12,225 to 16,681",23.9,20.2,27.6,20.2 to 27.6,15159,5102,4255,5949,"4,255 to 5,949",33.7,28.1,39.3,28.1 to 39.3,10889,3795,3189,4401,"3,189 to 4,401",34.9,29.3,40.5,29.3 to 40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,367","$38,309","$46,425","$38,309 to $46,425"
Nueces County (TX),05000US48355,-97.5216428,27.7394061,361350,326313,14774,6628,1487,211,5624,12329,23482,65369,77123,51583,50456,35.0,0.44,54318,28.1,17.1600105219181,2017,48,48355,Nueces County (TX),354483,57008,49395,64621,"49,395 to 64,621",16.1,14,18.2,14.0 to 18.2,88314,20130,16237,24023,"16,237 to 24,023",22.8,18.4,27.2,18.4 to 27.2,63694,13263,10493,16033,"10,493 to 16,033",20.8,16.5,25.1,16.5 to 25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,910","$49,711","$54,109","$49,711 to $54,109"
Orange County (TX),05000US48361,-93.8933577,30.120918,84964,NA,NA,NA,NA,NA,NA,1265,4433,22395,18921,8783,10662,37.4,0.446,53480,23.5,17.5671522527506,2017,48,48361,Orange County (TX),84148,11526,9286,13766,"9,286 to 13,766",13.7,11,16.4,11.0 to 16.4,20897,4236,3246,5226,"3,246 to 5,226",20.3,15.6,25,15.6 to 25.0,14946,2892,2158,3626,"2,158 to 3,626",19.3,14.4,24.2,14.4 to 24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$57,257","$53,241","$61,273","$53,241 to $61,273"
Parker County (TX),05000US48367,-97.8059049,32.7770964,129441,121518,1965,731,984,72,2346,2716,6368,27335,30508,19066,11619,40.0,0.422,66548,25.6,12.061771508912,2017,48,48367,Parker County (TX),131883,10515,8388,12642,"8,388 to 12,642",8.0,6.4,9.6,6.4 to 9.6,32519,3824,2910,4738,"2,910 to 4,738",11.8,9.0,14.6,9.0 to 14.6,24303,2676,1998,3354,"1,998 to 3,354",11,8.2,13.8,8.2 to 13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$74,076","$69,004","$79,148","$69,004 to $79,148"
Potter County (TX),05000US48375,-101.893804,35.3986751,120832,94819,12161,5672,302,202,2918,7043,10083,24537,22006,11283,25458,33.8,0.4804,42305,27.7,23.5425211598189,2017,48,48375,Potter County (TX),113497,21038,17587,24489,"17,587 to 24,489",18.5,15.5,21.5,15.5 to 21.5,32765,8245,6376,10114,"6,376 to 10,114",25.2,19.5,30.9,19.5 to 30.9,23133,5853,4460,7246,"4,460 to 7,246",25.3,19.3,31.3,19.3 to 31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,778","$40,568","$46,988","$40,568 to $46,988"
Randall County (TX),05000US48381,-101.8955472,34.962529,132501,118130,3530,2313,998,188,4183,1519,6223,16860,34079,27418,11370,35.5,0.4492,67015,26.6,8.27501608751609,2017,48,48381,Randall County (TX),131636,11635,9732,13538,"9,732 to 13,538",8.8,7.4,10.2,7.4 to 10.2,31776,3341,2500,4182,"2,500 to 4,182",10.5,7.9,13.1,7.9 to 13.1,23053,2292,1674,2910,"1,674 to 2,910",9.9,7.2,12.6,7.2 to 12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$63,077","$59,451","$66,703","$59,451 to $66,703"
Rockwall County (TX),05000US48397,-96.4075009,32.8892161,93978,NA,NA,NA,NA,NA,NA,1366,2431,11993,18979,24151,3646,37.5,0.3691,95731,26.8,9.10815939278937,2017,48,48397,Rockwall County (TX),95800,5039,3962,6116,"3,962 to 6,116",5.3,4.2,6.4,4.2 to 6.4,26146,1786,1366,2206,"1,366 to 2,206",6.8,5.2,8.4,5.2 to 8.4,20090,1259,937,1581,"937 to 1,581",6.3,4.7,7.9,4.7 to 7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$98,442","$91,068","$105,816","$91,068 to $105,816"
